Timestamp,Order_ID,Product_Category,Region,Assigned_Facility,Production_Line,Forecasted_Demand,Actual_Order_Qty,Workforce_Required,Workforce_Deployed,Schedule_Status,Operator_Override_Flag,Machine_Temperature_C,Machine_Vibration_Hz,Predicted_Time_To_Failure_Hrs,Machine_OEE_Pct,Raw_Material_Inventory_Units,Inventory_Threshold,Procurement_Action,Live_Supplier_Quote_USD,Grid_Pricing_Period,Energy_Consumed_kWh,Carbon_Emissions_kg,Carbon_Cost_Penalty_USD
2024-01-01 00:00:00,ORD-100000,Galaxy A Smartphone,USA,Gumi (Korea) - Primary,Line 2 (Standard),5010,5010,150,150,On-Time,0,75.72793519319967,50.584299849389005,447.0956271382123,97.85324732195444,94990,20000,None,0.0,Off-Peak,2505,1002.0,0.0
2024-01-01 02:00:00,ORD-100001,Galaxy S Smartphone,Australia/NZ,Thai Nguyen (Vietnam) - Primary,Line 1 (High Speed),4675,4675,150,150,On-Time,0,75.4105914224905,54.14180744828669,315.646723685456,93.54224302327955,95325,20000,None,0.0,Off-Peak,2337,934.8000000000001,0.0
2024-01-01 04:00:00,ORD-100002,Neo QLED TV,Korea,Queretaro (Mexico) - Partner,Line 1 (High Speed),1231,1231,80,80,On-Time,0,71.45813778584808,51.42146112328547,479.72369987439583,97.59950820792751,98769,20000,None,0.0,Off-Peak,615,246.0,0.0
2024-01-01 06:00:00,ORD-100003,Galaxy S Smartphone,Middle East,Foxconn (Taiwan) - Partner Overflow,Line 2 (Standard),4906,4906,150,120,Delayed,0,74.72607331736216,51.95883400760076,470.1580943172339,89.73768945553942,90419,20000,None,0.0,Off-Peak,2453,981.2,0.0
2024-01-01 08:00:00,ORD-100004,Neo QLED TV,Australia/NZ,Thai Nguyen (Vietnam) - Primary,Line 2 (Standard),1276,1276,80,80,On-Time,0,74.99543298090738,51.224020389915275,423.9205829500428,92.1150923230313,97493,20000,None,0.0,Off-Peak,638,255.20000000000002,0.0
2024-01-01 10:00:00,ORD-100005,Galaxy Tab,Africa,Noida Plant (India) - Primary,Line 1 (High Speed),1109,1109,80,80,On-Time,1,73.4796037569352,55.791815338941674,381.6350613780204,97.00091679483474,98891,20000,None,0.0,Off-Peak,554,221.60000000000002,0.0
2024-01-01 12:00:00,ORD-100006,Galaxy S Smartphone,Malaysia (SEA),Noida Plant (India) - Primary,Line 2 (Standard),5117,7675,150,135,Rerouted,0,76.84832814463965,57.78371363914551,306.3859303994085,91.04768021068105,82744,20000,None,0.0,Off-Peak,3837,1534.8000000000002,0.0
2024-01-01 14:00:00,ORD-100007,Galaxy S Smartphone,India,Thai Nguyen (Vietnam) - Primary,Line 3 (Heavy Duty),5022,5022,150,135,Delayed,0,78.7081247231861,54.094291042143404,490.8821643712022,97.62773906183466,77722,20000,None,0.0,Peak,2511,1004.4000000000001,376.65
2024-01-01 16:00:00,ORD-100008,Galaxy A Smartphone,India,Foxconn (Taiwan) - Partner Overflow,Line 2 (Standard),4583,4583,150,150,On-Time,0,73.90765588231538,51.975711996175136,309.3410819355147,90.09712535144304,90407,20000,None,0.0,Peak,2291,916.4000000000001,343.65
2024-01-01 18:00:00,ORD-100009,Neo QLED TV,Europe,Noida Plant (India) - Primary,Line 1 (High Speed),651,651,80,80,On-Time,0,75.35243313584535,50.0282325846677,378.01492888389555,97.22017780639142,96842,20000,None,0.0,Peak,325,130.0,48.75
2024-01-01 20:00:00,ORD-100010,Galaxy S Smartphone,Australia/NZ,Foxconn (Taiwan) - Partner Overflow,Line 1 (High Speed),4822,4822,150,150,On-Time,0,74.96471423729923,48.68746811123161,450.3950238879083,95.26785137015217,72900,20000,None,0.0,Peak,2411,964.4000000000001,361.65
